column_name,primary_attribute,confidence
Active Learning Level,Uncategorized,Low
Active Listening Importance,Uncategorized,Low
Active Listening Level,Uncategorized,Low
Complex Problem Solving Importance,Cognitive Complexity,High
Complex Problem Solving Level,Cognitive Complexity,High
Coordination Importance,Physical Requirements,High
Coordination Level,Physical Requirements,High
Critical Thinking Importance,Cognitive Complexity,High
Critical Thinking Level,Cognitive Complexity,High
Equipment Maintenance Importance,Uncategorized,Low
Equipment Maintenance Level,Uncategorized,Low
Equipment Selection Importance,Uncategorized,Low
Equipment Selection Level,Uncategorized,Low
Installation Importance,Uncategorized,Low
Installation Level,Uncategorized,Low
Instructing Importance,Social Interactions,High
Instructing Level,Social Interactions,High
Judgment and Decision Making Importance,Decision Accountability,High
Judgment and Decision Making Level,Decision Accountability,High
Learning Strategies Importance,Uncategorized,Low
Learning Strategies Level,Uncategorized,Low
Management of Financial Resources Importance,Uncategorized,Low
Management of Financial Resources Level,Uncategorized,Low
Management of Material Resources Importance,Uncategorized,Low
Management of Material Resources Level,Uncategorized,Low
Management of Personnel Resources Importance,Uncategorized,Low
Management of Personnel Resources Level,Uncategorized,Low
Mathematics Importance,Cognitive Complexity,High
Mathematics Level,Cognitive Complexity,High
Monitoring Importance,Uncategorized,Low
Monitoring Level,Uncategorized,Low
Negotiation Importance,Social Interactions,High
Negotiation Level,Social Interactions,High
Operation and Control Importance,Uncategorized,Low
Operation and Control Level,Uncategorized,Low
Operations Analysis Importance,Cognitive Complexity,High
Operations Analysis Level,Cognitive Complexity,High
Operations Monitoring Importance,Uncategorized,Low
Operations Monitoring Level,Uncategorized,Low
Persuasion Importance,Social Interactions,High
Persuasion Level,Social Interactions,High
Programming Importance,Uncategorized,Low
Programming Level,Uncategorized,Low
Quality Control Analysis Importance,Cognitive Complexity,High
Quality Control Analysis Level,Cognitive Complexity,High
Reading Comprehension Importance,Uncategorized,Low
Reading Comprehension Level,Uncategorized,Low
Repairing Importance,Uncategorized,Low
Repairing Level,Uncategorized,Low
Science Importance,Uncategorized,Low
Science Level,Uncategorized,Low
Service Orientation Importance,Uncategorized,Low
Service Orientation Level,Uncategorized,Low
Social Perceptiveness Importance,Uncategorized,Low
Social Perceptiveness Level,Uncategorized,Low
Speaking Importance,Uncategorized,Low
Speaking Level,Uncategorized,Low
Systems Analysis Importance,Cognitive Complexity,High
Systems Analysis Level,Cognitive Complexity,High
Systems Evaluation Importance,Cognitive Complexity,High
Systems Evaluation Level,Cognitive Complexity,High
Technology Design Importance,Creativity,High
Technology Design Level,Creativity,High
Time Management Importance,Uncategorized,Low
Time Management Level,Uncategorized,Low
Troubleshooting Importance,Uncategorized,Low
Troubleshooting Level,Uncategorized,Low
Writing Importance,Uncategorized,Low
Writing Level,Uncategorized,Low
Arm-Hand Steadiness Importance,Uncategorized,Low
Arm-Hand Steadiness Level,Uncategorized,Low
Auditory Attention Importance,Uncategorized,Low
Auditory Attention Level,Uncategorized,Low
Category Flexibility Importance,Uncategorized,Low
Category Flexibility Level,Uncategorized,Low
Control Precision Importance,Uncategorized,Low
Control Precision Level,Uncategorized,Low
Deductive Reasoning Importance,Cognitive Complexity,High
Deductive Reasoning Level,Cognitive Complexity,High
Depth Perception Importance,Uncategorized,Low
Depth Perception Level,Uncategorized,Low
Dynamic Flexibility Importance,Uncategorized,Low
Dynamic Flexibility Level,Uncategorized,Low
Dynamic Strength Importance,Physical Requirements,High
Dynamic Strength Level,Physical Requirements,High
Explosive Strength Importance,Physical Requirements,High
Explosive Strength Level,Physical Requirements,High
Extent Flexibility Importance,Uncategorized,Low
Extent Flexibility Level,Uncategorized,Low
Far Vision Importance,Uncategorized,Low
Far Vision Level,Uncategorized,Low
Finger Dexterity Importance,Physical Requirements,High
Finger Dexterity Level,Physical Requirements,High
Flexibility of Closure Importance,Uncategorized,Low
Flexibility of Closure Level,Uncategorized,Low
Fluency of Ideas Importance,Creativity,High
Fluency of Ideas Level,Creativity,High
Glare Sensitivity Importance,Uncategorized,Low
Glare Sensitivity Level,Uncategorized,Low
Gross Body Coordination Importance,Physical Requirements,High
Gross Body Coordination Level,Physical Requirements,High
Gross Body Equilibrium Importance,Uncategorized,Low
Gross Body Equilibrium Level,Uncategorized,Low
Hearing Sensitivity Importance,Uncategorized,Low
Hearing Sensitivity Level,Uncategorized,Low
Inductive Reasoning Importance,Cognitive Complexity,High
Inductive Reasoning Level,Cognitive Complexity,High
Information Ordering Importance,Data Structure,High
Information Ordering Level,Data Structure,High
Manual Dexterity Importance,Physical Requirements,High
Manual Dexterity Level,Physical Requirements,High
Mathematical Reasoning Importance,Cognitive Complexity,High
Mathematical Reasoning Level,Cognitive Complexity,High
Memorization Importance,Uncategorized,Low
Memorization Level,Uncategorized,Low
Multilimb Coordination Importance,Physical Requirements,High
Multilimb Coordination Level,Physical Requirements,High
Near Vision Importance,Uncategorized,Low
Near Vision Level,Uncategorized,Low
Night Vision Importance,Uncategorized,Low
Night Vision Level,Uncategorized,Low
Number Facility Importance,Uncategorized,Low
Number Facility Level,Uncategorized,Low
Oral Comprehension Importance,Uncategorized,Low
Oral Comprehension Level,Uncategorized,Low
Oral Expression Importance,Uncategorized,Low
Oral Expression Level,Uncategorized,Low
Originality Importance,Creativity,High
Originality Level,Creativity,High
Perceptual Speed Importance,Uncategorized,Low
Perceptual Speed Level,Uncategorized,Low
Peripheral Vision Importance,Uncategorized,Low
Peripheral Vision Level,Uncategorized,Low
Problem Sensitivity Importance,Cognitive Complexity,High
Problem Sensitivity Level,Cognitive Complexity,High
Rate Control Importance,Uncategorized,Low
Rate Control Level,Uncategorized,Low
Reaction Time Importance,Uncategorized,Low
Reaction Time Level,Uncategorized,Low
Response Orientation Importance,Uncategorized,Low
Response Orientation Level,Uncategorized,Low
Selective Attention Importance,Uncategorized,Low
Selective Attention Level,Uncategorized,Low
Sound Localization Importance,Uncategorized,Low
Sound Localization Level,Uncategorized,Low
Spatial Orientation Importance,Uncategorized,Low
Spatial Orientation Level,Uncategorized,Low
Speech Clarity Importance,Uncategorized,Low
Speech Clarity Level,Uncategorized,Low
Speech Recognition Importance,Uncategorized,Low
Speech Recognition Level,Uncategorized,Low
Speed of Closure Importance,Uncategorized,Low
Speed of Closure Level,Uncategorized,Low
Speed of Limb Movement Importance,Uncategorized,Low
Speed of Limb Movement Level,Uncategorized,Low
Stamina Importance,Physical Requirements,High
Stamina Level,Physical Requirements,High
Static Strength Importance,Physical Requirements,High
Static Strength Level,Physical Requirements,High
Time Sharing Importance,Uncategorized,Low
Time Sharing Level,Uncategorized,Low
Trunk Strength Importance,Physical Requirements,High
Trunk Strength Level,Physical Requirements,High
Visual Color Discrimination Importance,Uncategorized,Low
Visual Color Discrimination Level,Uncategorized,Low
Visualization Importance,Uncategorized,Low
Visualization Level,Uncategorized,Low
Wrist-Finger Speed Importance,Uncategorized,Low
Wrist-Finger Speed Level,Uncategorized,Low
Written Comprehension Importance,Uncategorized,Low
Written Comprehension Level,Uncategorized,Low
Written Expression Importance,Uncategorized,Low
Written Expression Level,Uncategorized,Low
Analyzing Data or Information Importance_x,Data Structure,High
Analyzing Data or Information Level_x,Data Structure,High
Assisting and Caring for Others Importance_x,Social Interactions,High
Assisting and Caring for Others Level_x,Social Interactions,High
Coaching and Developing Others Importance_x,Uncategorized,Low
Coaching and Developing Others Level_x,Uncategorized,Low
Communicating with People Outside the Organization Importance_x,Uncategorized,Low
Communicating with People Outside the Organization Level_x,Uncategorized,Low
"Communicating with Supervisors, Peers, or Subordinates Importance_x",Uncategorized,Low
"Communicating with Supervisors, Peers, or Subordinates Level_x",Uncategorized,Low
Controlling Machines and Processes Importance_x,Uncategorized,Low
Controlling Machines and Processes Level_x,Uncategorized,Low
Coordinating the Work and Activities of Others Importance_x,Uncategorized,Low
Coordinating the Work and Activities of Others Level_x,Uncategorized,Low
Developing Objectives and Strategies Importance_x,Uncategorized,Low
Developing Objectives and Strategies Level_x,Uncategorized,Low
Developing and Building Teams Importance_x,Uncategorized,Low
Developing and Building Teams Level_x,Uncategorized,Low
Documenting/Recording Information Importance_x,Data Structure,High
Documenting/Recording Information Level_x,Data Structure,High
"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment Importance_x",Uncategorized,Low
"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment Level_x",Uncategorized,Low
Establishing and Maintaining Interpersonal Relationships Importance_x,Uncategorized,Low
Establishing and Maintaining Interpersonal Relationships Level_x,Uncategorized,Low
"Estimating the Quantifiable Characteristics of Products, Events, or Information Importance_x",Data Structure,High
"Estimating the Quantifiable Characteristics of Products, Events, or Information Level_x",Data Structure,High
Evaluating Information to Determine Compliance with Standards Importance_x,Data Structure,High
Evaluating Information to Determine Compliance with Standards Level_x,Data Structure,High
Getting Information Importance_x,Data Structure,High
Getting Information Level_x,Data Structure,High
"Guiding, Directing, and Motivating Subordinates Importance_x",Uncategorized,Low
"Guiding, Directing, and Motivating Subordinates Level_x",Uncategorized,Low
Handling and Moving Objects Importance_x,Physical Requirements,High
Handling and Moving Objects Level_x,Physical Requirements,High
"Identifying Objects, Actions, and Events Importance_x",Uncategorized,Low
"Identifying Objects, Actions, and Events Level_x",Uncategorized,Low
"Inspecting Equipment, Structures, or Materials Importance_x",Uncategorized,Low
"Inspecting Equipment, Structures, or Materials Level_x",Uncategorized,Low
Interpreting the Meaning of Information for Others Importance_x,Data Structure,High
Interpreting the Meaning of Information for Others Level_x,Data Structure,High
"Judging the Qualities of Objects, Services, or People Importance_x",Uncategorized,Low
"Judging the Qualities of Objects, Services, or People Level_x",Uncategorized,Low
Making Decisions and Solving Problems Importance_x,Cognitive Complexity,Medium
Making Decisions and Solving Problems Level_x,Cognitive Complexity,Medium
"Monitoring Processes, Materials, or Surroundings Importance_x",Uncategorized,Low
"Monitoring Processes, Materials, or Surroundings Level_x",Uncategorized,Low
Monitoring and Controlling Resources Importance_x,Uncategorized,Low
Monitoring and Controlling Resources Level_x,Uncategorized,Low
"Operating Vehicles, Mechanized Devices, or Equipment Importance_x",Uncategorized,Low
"Operating Vehicles, Mechanized Devices, or Equipment Level_x",Uncategorized,Low
"Organizing, Planning, and Prioritizing Work Importance_x",Uncategorized,Low
"Organizing, Planning, and Prioritizing Work Level_x",Uncategorized,Low
Performing Administrative Activities Importance_x,Uncategorized,Low
Performing Administrative Activities Level_x,Uncategorized,Low
Performing General Physical Activities Importance_x,Physical Requirements,High
Performing General Physical Activities Level_x,Physical Requirements,High
Performing for or Working Directly with the Public Importance_x,Uncategorized,Low
Performing for or Working Directly with the Public Level_x,Uncategorized,Low
Processing Information Importance_x,Data Structure,High
Processing Information Level_x,Data Structure,High
Providing Consultation and Advice to Others Importance_x,Uncategorized,Low
Providing Consultation and Advice to Others Level_x,Uncategorized,Low
Repairing and Maintaining Electronic Equipment Importance_x,Uncategorized,Low
Repairing and Maintaining Electronic Equipment Level_x,Uncategorized,Low
Repairing and Maintaining Mechanical Equipment Importance_x,Uncategorized,Low
Repairing and Maintaining Mechanical Equipment Level_x,Uncategorized,Low
Resolving Conflicts and Negotiating with Others Importance_x,Social Interactions,High
Resolving Conflicts and Negotiating with Others Level_x,Social Interactions,High
