O*NET-SOC Code,Title,_key,structured_codifiable_work,cognitive_complexity,physical_embodiment,social_emotional_intelligence,creativity_innovation,decision_impact_accountability,automation_potential,overall_score,rationale,scored_at
11-1011.00,Chief Executives,11-1011.00||Chief Executives,2.2,4.7,1.2,4.8,3.8,5.0,Low,2.3,"Chief executives operate in highly ambiguous, dynamic environments where goals, constraints, and success metrics shift, limiting how fully the role can be codified. While many analytical and administrative components (reporting, forecasting support, drafting communications, scenario modeling, meeting prep) are strongly augmentable by AI, the core work requires high-level judgment under uncertainty and integration of incomplete information. The role is heavily dependent on trust-building, persuasion, negotiation, and leadership across stakeholders (board, investors, regulators, employees), which remains difficult to automate. Decisions are high-stakes with significant accountability and reputational/legal consequences, increasing the need for human oversight. Overall, AI is more likely to serve as a decision-support and execution-acceleration layer than a replacement for the CEO function.",2026-02-27T06:20:18.572202
11-1011.03,Chief Sustainability Officers,11-1011.03||Chief Sustainability Officers,2.8,4.2,1.2,4.4,3.6,4.6,Medium,2.7,"Chief Sustainability Officers do some structured work (reporting, KPI tracking, compliance documentation), which is amenable to automation, but much of the role is cross-functional coordination and strategy under uncertainty. The job requires high contextual judgment to balance financial, operational, regulatory, and reputational tradeoffs, often with incomplete data and shifting stakeholder expectations. Social influence is central: persuading executives, aligning business units, and communicating credibly with investors, employees, and external stakeholders are difficult to automate end-to-end. AI can strongly augment analytics (emissions accounting support, scenario modeling, materiality analysis, drafting disclosures and policies), but final prioritization and accountability for high-stakes commitments and risk decisions remain human-critical. Physical presence is limited, though relationship-building and governance processes often benefit from in-person leadership.",2026-02-27T06:20:23.506897
11-1021.00,General and Operations Managers,11-1021.00||General and Operations Managers,3.0,4.5,1.5,4.5,3.5,4.5,Medium,3.0,"General and Operations Managers perform a mix of standardized management processes (budgeting, reporting, KPI tracking, scheduling) and highly context-dependent leadership work. Many analytical and administrative components are codifiable and can be automated or strongly augmented by AI (forecasting, dashboarding, drafting policies/communications, process optimization, scenario modeling). However, the role requires substantial judgment under uncertainty, cross-functional tradeoffs, and accountability for outcomes, which limits full automation. High social and emotional intelligence is central for leading through subordinate managers, negotiating priorities, handling conflict, and building trust and culture. Overall, AI can automate significant portions of information processing and coordination, but humans remain critical for final decisions, people leadership, and high-stakes accountability.",2026-02-27T06:21:02.666307
11-1031.00,Legislators,11-1031.00||Legislators,2.2,4.4,1.4,4.8,3.6,5.0,Low,2.3,"Legislative work is only partly codifiable: while drafting, research, bill tracking, and summarizing testimony can be standardized and strongly AI-augmentable, the core role involves ambiguous goals, shifting coalitions, and political strategy. It requires high cognitive complexity to balance legal constraints, policy tradeoffs, constituent interests, and long-term consequences under uncertainty. Social trust, negotiation, persuasion, and coalition-building are central and difficult to automate, especially given the need for legitimacy and relationship-based influence. Physical embodiment is low, but the decision impact and accountability are maximal because enacted laws have broad, often irreversible consequences and are subject to public scrutiny and ethical constraints. Overall, AI can automate/augment analytical and drafting support, but elected judgment, representation, and accountability remain human-critical.",2026-02-27T06:21:08.144573
11-2011.00,Advertising and Promotions Managers,11-2011.00||Advertising and Promotions Managers,3.2,4.1,1.2,4.0,4.2,4.1,Medium,3.2,"Advertising and Promotions Managers do a mix of structured work (budgets, timelines, channel plans, performance reporting) and less-codifiable work (positioning, brand strategy, campaign judgment). Many executional components—drafting copy variants, generating creative concepts, producing collateral, A/B test design suggestions, media mix simulations, and analytics reporting—are increasingly automatable/augmentable with AI. However, the role relies heavily on cross-functional leadership, client/stakeholder persuasion, negotiation, and brand stewardship, where trust, context, and organizational politics matter. High-stakes decisions around brand risk, compliance (claims, disclosures), and reputational impact typically require accountable human sign-off. Overall, AI can substantially accelerate ideation and optimization, but end-to-end automation is constrained by strategic judgment and accountability.",2026-02-27T06:21:13.791162
11-2021.00,Marketing Managers,11-2021.00||Marketing Managers,3.2,4.1,1.2,4.0,3.8,4.3,Medium,3.4,"Marketing management includes many codifiable components (market research synthesis, segmentation, forecasting, pricing analysis, campaign measurement) that AI can automate or strongly augment. However, the role also requires high contextual judgment to align strategy with brand, competitive dynamics, and organizational constraints, which raises cognitive complexity. Relationship-heavy work—cross-functional leadership, persuasion, stakeholder management, and interpreting customer sentiment—depends on trust and nuanced communication that is harder to automate end-to-end. Creativity is meaningful (positioning, messaging, go-to-market concepts) and can be assisted by generative AI, but final direction and taste/brand stewardship remain human-critical. Decisions often carry significant financial and reputational risk (pricing, product bets, compliance), increasing accountability and limiting full automation despite strong augmentation potential.",2026-02-27T06:21:19.741395
11-2022.00,Sales Managers,11-2022.00||Sales Managers,3.6,3.8,1.4,4.4,3.2,4.1,Medium,3.3,"Sales management includes many structured, data-driven activities (forecasting, territory/quota setting, pipeline and performance reporting) that are increasingly automatable with analytics and AI copilots. However, the role also relies heavily on relationship-building, coaching, negotiation, and motivating teams—areas where trust, context, and emotional nuance remain human-critical. Strategic judgment is needed to adapt to market shifts, competitive dynamics, and organizational constraints, which limits full automation even if decision support is strong. Physical embodiment is low because most work is digital/meeting-based, making augmentation feasible. High-stakes accountability (revenue targets, pricing/discount approvals, compliance) further favors human oversight even when AI generates recommendations.",2026-02-27T06:21:24.866317
11-2032.00,Public Relations Managers,11-2032.00||Public Relations Managers,3.2,4.2,1.1,4.6,4.0,4.3,Medium,3.1,"Public Relations Managers do a mix of repeatable work (drafting press materials, monitoring coverage, reporting metrics) and highly context-dependent judgment (messaging strategy, crisis response, stakeholder management). Many digital components are amenable to AI augmentation—media monitoring/sentiment analysis, first-draft writing, Q&A prep, and campaign analytics—raising automability for structured tasks. However, the role relies heavily on trust-building, persuasion, and nuanced interpretation of organizational politics and public sentiment, which are harder to automate reliably. Creativity is important for narrative framing and campaign concepts, but AI can assist with ideation while humans select and refine based on brand and risk. High reputational and legal/regulatory stakes in communications, especially during crises, keep humans accountable for final decisions and approvals.",2026-02-27T06:21:29.277650
11-2033.00,Fundraising Managers,11-2033.00||Fundraising Managers,3.2,3.8,1.3,4.6,3.6,4.2,Medium,3.1,"Fundraising management includes many structured, data-driven components (donor segmentation, campaign tracking, reporting, CRM workflows) that are readily automated or strongly AI-augmentable. However, high performance depends heavily on relationship-building, trust, persuasion, and nuanced stakeholder management with major donors and boards, which resists full automation. Strategic judgment is needed to set goals, choose channels, and respond to reputational risks, making cognitive complexity and accountability moderate-to-high. Creativity is relevant for campaign messaging and event concepts, where AI can assist with ideation and content drafts but humans typically provide brand fit and ethical judgment. Overall, AI is likely to automate back-office and analytics tasks while augmenting, not replacing, the human-facing and high-stakes decision aspects.",2026-02-27T06:21:33.801823
11-3012.00,Administrative Services Managers,11-3012.00||Administrative Services Managers,3.8,3.6,1.6,3.4,2.6,3.7,Medium,3.6,"Administrative Services Managers oversee a mix of standardized operational processes (records, mail, facilities/office services) and variable coordination work, making many components amenable to workflow automation, analytics, and AI-assisted planning. Routine tasks like scheduling, procurement support, policy/document drafting, reporting, ticket triage, and compliance checklists are highly automatable, especially in digital-first offices. However, the role often requires contextual judgment across competing priorities, vendor and stakeholder management, and handling exceptions (incidents, sensitive personnel issues, regulatory nuances) where human oversight remains important. Physical presence is sometimes needed for facilities/mailroom oversight, but much of the work is managerial and information-based. Because decisions can affect compliance, security, budgets, and continuity of operations, organizations will likely keep humans accountable even as AI augments planning and monitoring.",2026-02-27T06:21:40.681726
11-3013.00,Facilities Managers,11-3013.00||Facilities Managers,3.4,3.6,2.6,3.7,2.8,4.2,Medium,3.2,"Facilities Managers perform a mix of standardized work (preventive maintenance schedules, compliance checklists, vendor management, budgeting) and situational judgment (prioritizing repairs, handling emergencies, balancing cost/risk/occupant needs). Many planning, reporting, work-order triage, energy optimization analytics, and documentation tasks are amenable to automation/AI augmentation via CMMS, predictive maintenance, and automated compliance reporting. However, the role often requires on-site verification, coordination of contractors, and real-time response to physical issues, which limits full automation. Significant stakeholder interaction (occupant complaints, negotiations with vendors, coordination with leadership) and trust-building are important and harder to automate. Decisions can be high-stakes (safety, regulatory compliance, business continuity), increasing the need for accountable human oversight even when AI supports analysis and recommendations.",2026-02-27T06:21:46.048613
11-3013.01,Security Managers,11-3013.01||Security Managers,3.2,4.0,2.8,3.8,2.7,4.6,Medium,3.0,"Security Managers combine codifiable work (policies, incident reporting, compliance checklists, access control procedures) with substantial contextual judgment in risk assessment, threat response, and prioritization. Many planning and administrative components are highly augmentable by AI (monitoring/alert triage, report drafting, policy mapping to standards, scheduling, analytics), but effective performance often requires on-site awareness and coordination with facilities, IT, law enforcement, and leadership. The role relies on trust-building, persuasion, and crisis communication, which are harder to automate end-to-end. High stakes and accountability for safety, legal exposure, and reputational risk constrain full automation and keep humans in the loop for final decisions. Overall, AI can significantly augment operations and decision support, but full replacement is unlikely in the near term.",2026-02-27T06:21:51.064826
11-3021.00,Computer and Information Systems Managers,11-3021.00||Computer and Information Systems Managers,3.2,4.3,1.2,4.1,3.4,4.4,Medium,3.0,"Computer and Information Systems Managers perform a mix of structured management processes (budgeting, reporting, project tracking, compliance) and less-codifiable leadership work (strategy, prioritization, stakeholder alignment). Many operational components are amenable to automation/augmentation via AI tools (status synthesis, risk/issue detection, documentation, capacity planning support, vendor comparisons, drafting policies and communications). However, the role requires high contextual judgment and accountability for tradeoffs involving security, reliability, cost, and organizational goals, which limits end-to-end automation. Significant social and emotional intelligence is needed to negotiate priorities, manage performance, build trust across business units, and handle conflict. Overall, AI is likely to automate substantial administrative/analytical portions while humans remain critical for leadership, governance, and high-stakes decision-making.",2026-02-27T06:21:55.861390
11-3031.00,Financial Managers,11-3031.00||Financial Managers,3.6,4.2,1.2,3.8,3.2,4.6,Medium,3.4,"Financial managers work with many standardized processes (budgeting, reporting, forecasting, compliance) that are increasingly codifiable and measurable, making substantial portions amenable to automation. However, the role also requires high contextual judgment in interpreting financial signals, balancing tradeoffs, and adapting to changing business conditions, which limits full automation. Relationship-heavy work—advising executives, negotiating with banks/investors, and influencing cross-functional stakeholders—requires trust and nuanced communication that AI can augment but not fully replace. The work is largely digital with minimal physical requirements, but decisions are high-stakes (capital allocation, risk management, regulatory exposure), increasing the need for human accountability and oversight. Overall, AI can automate analytics, variance explanations, report generation, and monitoring, while humans remain critical for strategy, governance, and final decision-making.",2026-02-27T06:22:00.633744
11-3031.01,Treasurers and Controllers,11-3031.01||Treasurers and Controllers,3.6,4.2,1.1,3.7,2.8,4.7,Medium,3.2,"Treasurers and controllers oversee budgeting, cash management, forecasting, reporting, controls, and investment/financing activities—many of which are data-driven and partially standardized, making them amenable to automation (e.g., reconciliations, variance analysis, forecasting support, policy compliance checks, and report generation). However, the role requires high contextual judgment around liquidity risk, capital structure, hedging, and interpreting ambiguous signals in markets and operations, which raises cognitive complexity and limits full automation. Significant stakeholder management (executives, banks, auditors, regulators) and trust-based communication are central, and AI can assist with preparation but not fully replace negotiation and accountability-bearing interactions. The work is largely digital with minimal physical requirements. Because decisions are high-stakes and regulated, humans remain critical for final sign-off, governance, and accountability even as AI augments analysis and monitoring.",2026-02-27T06:22:06.053612
11-3031.03,Investment Fund Managers,11-3031.03||Investment Fund Managers,3.2,4.4,1.1,4.0,3.6,4.8,Medium,3.2,"Investment fund management includes many data-driven, repeatable components (screening, portfolio optimization, risk analytics, reporting) that are highly augmentable by AI, but the end-to-end role is not fully codifiable due to shifting market regimes and incomplete information. The work demands high cognitive complexity in forming theses, stress-testing scenarios, and integrating macro, micro, and behavioral signals, where models can help but often require human judgment about assumptions and regime change. Physical embodiment is minimal, making digital automation feasible. However, social/emotional intelligence remains important for investor relations, trust-building, negotiation with counterparties, and managing internal teams under uncertainty. Decision impact and accountability are very high (fiduciary duty, regulatory constraints, reputational risk), which tends to keep humans in the loop even when AI handles research, execution support, and monitoring.",2026-02-27T06:22:11.034492
11-3051.00,Industrial Production Managers,11-3051.00||Industrial Production Managers,3.6,3.8,2.4,3.4,2.8,4.2,Medium,3.4,"Industrial Production Managers perform a mix of standardized planning/monitoring (schedules, KPIs, quality metrics, inventory, compliance) and situational judgment (tradeoffs among cost, throughput, safety, and quality), making substantial portions amenable to AI augmentation. Many tasks—forecasting, production scheduling, anomaly detection from MES/SCADA/ERP data, reporting, and root-cause hypothesis generation—are relatively codifiable and can be automated or decision-supported. However, the role also requires cross-functional coordination, negotiation, and trust-building with operators, maintenance, engineering, and suppliers, which limits full automation. Physical presence is sometimes needed for gemba walks, safety oversight, and handling real-time disruptions on the floor, though not continuously. High accountability for safety, quality escapes, and delivery commitments means humans are likely to retain final decision authority even as AI handles more planning and monitoring.",2026-02-27T06:22:16.460731
11-3051.01,Quality Control Systems Managers,11-3051.01||Quality Control Systems Managers,3.8,3.9,2.2,3.4,2.8,4.3,Medium,3.4,"Quality Control Systems Managers work includes many standardized, auditable processes (e.g., SOPs, CAPA workflows, audits, SPC reporting) that are well-suited to automation and AI-assisted analytics, documentation, and monitoring. However, the role also requires contextual judgment to interpret ambiguous quality signals, balance tradeoffs among cost, throughput, and risk, and tailor systems to specific products and regulatory regimes. Physical presence is sometimes needed for plant/lab walkthroughs and investigations, but much of the coordination and analysis is digital and can be augmented remotely. Social skills matter for cross-functional alignment, coaching, and handling audit interactions, which are harder to automate fully. High accountability and regulatory stakes limit end-to-end automation; AI can draft policies, detect anomalies, and recommend actions, but humans typically must approve decisions and own compliance outcomes.",2026-02-27T06:22:21.541206
11-3051.02,Geothermal Production Managers,11-3051.02||Geothermal Production Managers,3.8,3.6,3.2,2.6,2.4,4.4,Medium,3.3,"Geothermal production management includes many standardized, measurable activities (monitoring KPIs, maintenance scheduling, compliance checklists) that are amenable to automation via SCADA analytics, predictive maintenance, and workflow systems. However, the role also requires contextual engineering judgment to diagnose abnormal plant behavior, prioritize competing operational constraints, and respond to novel failures, which limits full automation. Physical presence is often needed for inspections, coordination with technicians, and verifying equipment condition and safety, though remote monitoring can reduce this. Social demands are moderate (shift coordination, contractor/vendor management, safety leadership) but typically less emotionally nuanced than counseling or sales. Decision impact is high due to safety, environmental compliance, grid reliability, and costly downtime, so humans are likely to retain accountability even as AI augments monitoring, anomaly detection, reporting, and routine decision support.",2026-02-27T06:22:26.459531
11-3051.03,Biofuels Production Managers,11-3051.03||Biofuels Production Managers,3.6,3.8,3.2,3.0,2.8,4.4,Medium,3.4,"Biofuels production management includes many structured, measurable activities (tracking KPIs, scheduling, reporting, compliance documentation) that are amenable to automation via MES/SCADA analytics and AI-driven monitoring. However, diagnosing process upsets and designing corrective actions requires contextual engineering judgment, integrating sensor data with equipment history, feedstock variability, and safety constraints. The role also involves on-site oversight and coordination with operators, maintenance, and EHS, which limits full automation due to physical plant realities and human factors. Decision stakes are high (safety, environmental compliance, downtime, product quality), so accountability and risk management keep humans in the loop even when AI provides recommendations. Overall, AI can strongly augment monitoring, optimization suggestions, and documentation, while humans remain critical for final decisions, incident response, and cross-team leadership.",2026-02-27T06:22:31.924942
11-3051.04,Biomass Power Plant Managers,11-3051.04||Biomass Power Plant Managers,3.6,4.0,2.8,3.4,2.6,4.6,Medium,3.2,"Biomass power plant management includes many standardized, measurable activities (scheduling, compliance reporting, KPI tracking, maintenance planning) that are amenable to automation and AI decision support. However, the role also requires high contextual judgment for abnormal operations, safety incidents, equipment failures, and tradeoffs among reliability, cost, and regulatory constraints. Physical presence is often needed for walkdowns, coordinating maintenance, and responding to on-site issues, though remote monitoring and predictive maintenance can reduce this. People leadership, contractor coordination, and safety culture require interpersonal trust and accountability that are harder to automate. The highest-stakes decisions (safety, environmental compliance, grid reliability) will likely remain human-led, with AI augmenting monitoring, forecasting, optimization, and documentation.",2026-02-27T06:22:36.097669
11-3051.06,Hydroelectric Production Managers,11-3051.06||Hydroelectric Production Managers,3.6,3.8,2.4,2.8,2.6,4.6,Medium,3.2,"Hydroelectric production management includes many standardized, measurable activities (monitoring SCADA data, compliance checks, maintenance scheduling) that are amenable to automation and AI-driven decision support. However, the role also requires contextual judgment for abnormal conditions, tradeoffs among safety, reliability, water constraints, and grid demands, which raises cognitive complexity and limits full automation. Physical presence is sometimes needed for inspections, coordination with maintenance crews, and responding to on-site incidents, though much monitoring is digital. High-stakes accountability for safety, environmental compliance, and grid reliability means humans will likely retain final authority even if AI handles forecasting, anomaly detection, and optimization. The most automatable parts are routine monitoring, reporting, predictive maintenance, and dispatch/optimization recommendations; the most human-critical parts are incident response leadership, regulatory accountability, and cross-stakeholder coordination.",2026-02-27T06:22:41.060934
11-3061.00,Purchasing Managers,11-3061.00||Purchasing Managers,3.6,3.8,1.2,3.9,2.8,4.2,Medium,3.4,"Purchasing managers oversee a mix of structured processes (RFQs/RFPs, vendor onboarding, contract workflows, spend analysis) and less-structured judgment (supplier strategy, risk tradeoffs, exception handling). AI can strongly automate/augment data-heavy work such as demand/spend forecasting, supplier discovery, quote comparison, compliance checks, contract clause review, and routine communications. However, negotiation, relationship management, internal stakeholder alignment, and handling disputes or supply disruptions require nuanced context, trust, and organizational authority that are harder to automate end-to-end. The role is largely digital with minimal physical requirements, but decisions often carry significant financial, operational, and compliance risk, increasing the need for accountable human oversight. Overall, substantial augmentation is likely, while full automation is constrained by high-stakes accountability and social/strategic components.",2026-02-27T06:22:46.056611
