O*NET-SOC Code,Title,_key,structured_codifiable_work,cognitive_complexity,physical_embodiment,social_emotional_intelligence,creativity_innovation,decision_impact_accountability,automation_potential,overall_score,rationale,scored_at
11-1011.00,Chief Executives,11-1011.00||Chief Executives,2.2,4.6,1.3,4.7,3.8,5,Low,2.3,"Chief executives operate in highly ambiguous, dynamic environments where goals, constraints, and success metrics shift, limiting how fully the work can be codified. While AI can strongly augment analysis (forecasting, scenario modeling, KPI monitoring, drafting communications, competitive intelligence), the role requires high-level judgment under uncertainty, integration of incomplete information, and prioritization across conflicting stakeholder interests. Social trust-building with boards, investors, regulators, employees, and partners—often involving negotiation and persuasion—is central and difficult to automate. Accountability and stakes are extremely high (legal, financial, reputational), making organizations reluctant to delegate final decisions to automated systems. Overall, AI is best suited as a decision-support and execution-acceleration layer, with humans retaining ultimate leadership, governance, and responsibility.",2026-02-24T07:16:07.691685
11-1011.03,Chief Sustainability Officers,11-1011.03||Chief Sustainability Officers,3.2,4.2,1.2,4.4,3.6,4.6,Medium,2.8,"The role includes some structured, codifiable components (e.g., ESG reporting support, data collection, benchmarking, policy drafting, and monitoring KPIs) that AI can automate or strongly augment. However, it requires high contextual judgment to balance financial, regulatory, reputational, and operational tradeoffs across the enterprise, often under uncertainty and changing standards. A large portion of the work depends on stakeholder influence, negotiation, and trust-building with executives, employees, investors, and external partners, which is difficult to automate end-to-end. Decision impact is high because sustainability commitments and disclosures carry legal, regulatory, and reputational accountability, increasing the need for human oversight. Overall, AI is best suited for analytics, scenario modeling, drafting communications, and compliance workflow support, while humans remain critical for strategy ownership, governance, and stakeholder alignment.",2026-02-24T07:16:13.418936
11-1021.00,General and Operations Managers,11-1021.00||General and Operations Managers,2.6,4.4,1.4,4.2,3.3,4.6,Medium,2.9,"General and Operations Managers do a mix of structured work (budgeting, reporting, KPI tracking, scheduling) and highly context-dependent work (strategy, tradeoffs across departments, handling exceptions), making only part of the role readily codifiable. The job demands substantial judgment under uncertainty, integrating financial, operational, legal, and market signals, which raises cognitive complexity and limits full automation. Success also depends heavily on leadership, persuasion, conflict resolution, and trust-building across stakeholders, which current AI can support but not reliably replace. Many analytical and administrative components (dashboards, forecasting, drafting policies/communications, process mining, scenario modeling) are highly augmentable, while accountability for high-stakes decisions, people management, and organizational change remains human-critical. Overall, AI is likely to automate/streamline significant portions of information processing and coordination, but end-to-end replacement is unlikely in the near term.",2026-02-24T07:16:19.488569
11-1031.00,Legislators,11-1031.00||Legislators,2.2,4.4,1.6,4.8,3.6,5,Low,2.4,"Legislative work includes some codifiable components (drafting language, summarizing bills, researching precedents, analyzing budgets and impacts) that AI can strongly augment, but the core role is not rule-based or standardized. It requires high contextual judgment about values, tradeoffs, and political feasibility, plus coalition-building, negotiation, persuasion, and trust with constituents and other officials. Physical embodiment is limited, but real-world presence for hearings, constituent meetings, and political events still matters. Stakes and accountability are extremely high because decisions shape law and public outcomes, and elected officials bear democratic legitimacy and responsibility that cannot be delegated to automation. Overall, AI can automate/accelerate analysis and drafting, but cannot replace the elected decision-making, representation, and relationship-driven governance functions.",2026-02-24T07:16:26.516279
11-2011.00,Advertising and Promotions Managers,11-2011.00||Advertising and Promotions Managers,3.2,4.0,1.2,4.1,4.2,4.0,Medium,3.1,"Advertising and Promotions Managers do a mix of structured work (budgets, timelines, channel planning, reporting) and less-codifiable work (brand positioning, campaign strategy, creative judgment). Many executional components—market/consumer research synthesis, copy and asset drafting, A/B test design, media plan optimization, and performance analytics—are highly augmentable by AI. However, the role relies heavily on stakeholder management, persuasion, cross-functional coordination, and nuanced brand stewardship, which are harder to automate end-to-end. Decisions often carry meaningful financial and reputational risk, increasing the need for human accountability and governance. Overall, AI can automate/accelerate large portions of planning and production, but humans remain critical for final strategy, approvals, and relationship-driven leadership.",2026-02-24T07:16:31.585148
11-2021.00,Marketing Managers,11-2021.00||Marketing Managers,3.4,4.1,1.2,3.8,3.6,4.2,Medium,3.4,"Marketing management includes many codifiable components (market research, segmentation, campaign measurement, pricing analytics) that AI can automate or strongly augment, especially in data-heavy environments. However, the role also requires high contextual judgment to align marketing strategy with brand positioning, competitive dynamics, and organizational constraints, which raises cognitive complexity. Significant social influence is needed to coordinate across product, sales, finance, and leadership, negotiate tradeoffs, and build trust around strategic choices. Creativity is important for positioning and messaging, but AI can assist with ideation and testing while humans typically own final brand judgment. Decisions often carry material revenue, reputational, and compliance risk (e.g., pricing, claims, targeting), limiting full automation and keeping humans accountable for final calls.",2026-02-24T07:16:36.725204
11-2022.00,Sales Managers,11-2022.00||Sales Managers,3.6,3.7,1.3,4.2,3.2,4.0,Medium,3.4,"Sales management includes many codifiable components (territory design, quota setting, pipeline reporting, forecasting, CRM hygiene) that are increasingly automatable with analytics and AI copilots. However, the role also relies heavily on relationship-building, coaching, negotiation strategy, and motivating teams—areas where trust, context, and emotional nuance still favor humans. Cognitive demands are moderate-to-high due to market dynamics, competitive positioning, and exception handling, but much of the analysis and reporting can be automated. Stakes are often significant (revenue targets, pricing/discount decisions, compliance), which tends to keep humans accountable for final calls even when AI provides recommendations. Overall, AI is likely to augment and partially automate planning/analysis and enablement content, while human managers remain critical for leadership, key-account interactions, and high-impact judgment.",2026-02-24T07:16:42.161397
11-2032.00,Public Relations Managers,11-2032.00||Public Relations Managers,3.2,4.1,1.2,4.4,3.8,4.3,Medium,3.2,"Public Relations Managers do substantial work that is digital and partially codifiable (media monitoring, drafting releases, reporting metrics), which AI can automate or strongly augment. However, the role requires high contextual judgment about reputational risk, timing, stakeholder dynamics, and organizational strategy, especially during crises. Relationship-building with journalists, executives, and community stakeholders, plus persuasion and trust, remains difficult to automate end-to-end. Creativity is important for messaging and campaign concepts, but AI can assist with ideation and content variants while humans set narrative direction and brand voice. Because errors can create significant reputational and legal/regulatory consequences, human accountability and final decision-making are typically required.",2026-02-24T07:16:46.798728
11-2033.00,Fundraising Managers,11-2033.00||Fundraising Managers,3.4,3.8,1.3,4.4,3.6,4.1,Medium,3.2,"Fundraising management includes many codifiable components (donor segmentation, campaign planning, CRM workflows, reporting, A/B testing, grant/proposal drafting) that AI can automate or strongly augment. However, the role relies heavily on relationship-building, trust, persuasion, and nuanced stakeholder management with major donors, boards, and community partners, which is harder to automate. Strategic judgment is needed to align messaging with mission, manage reputational risk, and adapt to shifting donor motivations and external events. High-stakes accountability (compliance, ethics, brand risk, and financial targets) limits full automation and keeps humans in the loop for final decisions. Overall, AI is likely to automate back-office analytics and content production while augmenting, not replacing, the human-facing cultivation and leadership aspects.",2026-02-24T07:16:52.633539
11-3012.00,Administrative Services Managers,11-3012.00||Administrative Services Managers,3.8,3.6,1.6,3.4,2.6,3.7,Medium,3.6,"Administrative Services Managers oversee a mix of standardized back-office processes (records, mail, facilities/office services) and variable coordination work, making many components amenable to workflow automation and AI-assisted monitoring. Planning, budgeting, vendor management, compliance, and policy implementation require contextual judgment and cross-functional tradeoffs, which limits full automation. The role often involves stakeholder management, negotiation, and handling employee issues, where trust and organizational nuance remain human-critical. Physical presence is sometimes needed for facilities/mailroom oversight, but much of the work is digital and can be centralized. AI can strongly augment reporting, scheduling, ticket triage, document/records classification, procurement comparisons, and compliance checklists, while final accountability for operational decisions and risk typically stays with humans.",2026-02-24T07:16:58.521605
