column_name,attributes,num_attributes
Evaluating Information to Determine Compliance with Standards Combined,"[""Routine structure"", ""Cognitive complexity"", ""Decision accountability"", ""Data structure""]",4
Developing Objectives and Strategies Combined,"[""Cognitive complexity"", ""Social interactions"", ""Creativity""]",3
Analyzing Data or Information Combined,"[""Cognitive complexity"", ""Data structure""]",2
Documenting/Recording Information Combined,"[""Cognitive complexity"", ""Data structure""]",2
"Estimating the Quantifiable Characteristics of Products, Events, or Information Combined","[""Cognitive complexity"", ""Data structure""]",2
"Exposed to Cramped Work Space, Awkward Positions","[""Routine structure"", ""Physical requirements""]",2
Frequency of Decision Making,"[""Cognitive complexity"", ""Decision accountability""]",2
Getting Information Combined,"[""Cognitive complexity"", ""Data structure""]",2
Information Ordering Combined,"[""Cognitive complexity"", ""Data structure""]",2
Interpreting the Meaning of Information for Others Combined,"[""Cognitive complexity"", ""Data structure""]",2
Judgment and Decision Making Combined,"[""Cognitive complexity"", ""Decision accountability""]",2
Processing Information Combined,"[""Cognitive complexity"", ""Data structure""]",2
Thinking Creatively Combined,"[""Cognitive complexity"", ""Creativity""]",2
Active Learning Combined,"[""Cognitive complexity""]",1
Active Listening Combined,"[""Cognitive complexity""]",1
Arm-Hand Steadiness Combined,"[""Cognitive complexity""]",1
Assisting and Caring for Others Combined,"[""Social interactions""]",1
Auditory Attention Combined,"[""Cognitive complexity""]",1
Category Flexibility Combined,"[""Cognitive complexity""]",1
Coaching and Developing Others Combined,"[""Social interactions""]",1
Communicating with People Outside the Organization Combined,"[""Social interactions""]",1
"Communicating with Supervisors, Peers, or Subordinates Combined","[""Social interactions""]",1
Complex Problem Solving Combined,"[""Cognitive complexity""]",1
Conflict Situations,"[""Social interactions""]",1
Consequence of Error,"[""Decision accountability""]",1
Contact With Others,"[""Social interactions""]",1
Control Precision Combined,"[""Cognitive complexity""]",1
Controlling Machines and Processes Combined,"[""Routine structure""]",1
Coordinate or Lead Others in Accomplishing Work Activities,"[""Social interactions""]",1
Coordinating the Work and Activities of Others Combined,"[""Cognitive complexity""]",1
Coordination Combined,"[""Physical requirements""]",1
Critical Thinking Combined,"[""Cognitive complexity""]",1
Deal With External Customers or the Public in General,"[""Social interactions""]",1
"Dealing With Unpleasant, Angry, or Discourteous People","[""Cognitive complexity""]",1
Dealing with Violent or Physically Aggressive People,"[""Cognitive complexity""]",1
Deductive Reasoning Combined,"[""Cognitive complexity""]",1
Degree of Automation,"[""Routine structure""]",1
Depth Perception Combined,"[""Cognitive complexity""]",1
"Determine Tasks, Priorities and Goals","[""Cognitive complexity""]",1
Developing and Building Teams Combined,"[""Social interactions""]",1
"Drafting, Laying Out, and Specifying Technical Devices, Parts, and Equipment Combined","[""Cognitive complexity""]",1
Dynamic Flexibility Combined,"[""Cognitive complexity""]",1
Dynamic Strength Combined,"[""Physical requirements""]",1
E-Mail,"[""Cognitive complexity""]",1
Equipment Maintenance Combined,"[""Cognitive complexity""]",1
Equipment Selection Combined,"[""Cognitive complexity""]",1
Establishing and Maintaining Interpersonal Relationships Combined,"[""Cognitive complexity""]",1
Explosive Strength Combined,"[""Physical requirements""]",1
Exposed to Contaminants,"[""Physical requirements""]",1
Exposed to Disease or Infections,"[""Physical requirements""]",1
Exposed to Extremely Bright or Inadequate Lighting Conditions,"[""Physical requirements""]",1
Exposed to Hazardous Conditions,"[""Physical requirements""]",1
Exposed to Hazardous Equipment,"[""Physical requirements""]",1
Exposed to High Places,"[""Physical requirements""]",1
"Exposed to Minor Burns, Cuts, Bites, or Stings","[""Physical requirements""]",1
Exposed to Radiation,"[""Physical requirements""]",1
"Exposed to Sounds, Noise Levels that are Distracting or Uncomfortable","[""Physical requirements""]",1
Exposed to Very Hot or Cold Temperatures,"[""Physical requirements""]",1
Exposed to Whole Body Vibration,"[""Physical requirements""]",1
Extent Flexibility Combined,"[""Cognitive complexity""]",1
Face-to-Face Discussions with Individuals and Within Teams,"[""Social interactions""]",1
Far Vision Combined,"[""Physical requirements""]",1
Finger Dexterity Combined,"[""Physical requirements""]",1
Flexibility of Closure Combined,"[""Cognitive complexity""]",1
Fluency of Ideas Combined,"[""Creativity""]",1
Freedom to Make Decisions,"[""Decision accountability""]",1
Glare Sensitivity Combined,"[""Cognitive complexity""]",1
Gross Body Coordination Combined,"[""Physical requirements""]",1
